;month;Ozono(µg/m?);NO(µg/m?);NO2(µg/m?);PM10(µg/m?);NOx(µg/m?);SO2(µg/m?)
0;01/14;39.935483870967744;14.870967741935484;34.32258064516129;9.130434782608695;57.064516129032256;1.5
1;01/15;30.06451612903226;18.741935483870968;28.193548387096776;17.129032258064516;56.54838709677419;3.2580645161290325
2;01/16;37.806451612903224;10.043478260869565;25.130434782608695;12.903225806451612;39.869565217391305;3.4838709677419355
3;01/17;33.70967741935484;17.161290322580644;24.967741935483872;16.129032258064516;51.193548387096776;3.193548387096774
4;02/14;45.92857142857143;14.25925925925926;39.8;12.592592592592593;60.0;2.1363636363636362
5;02/15;51.464285714285715;6.428571428571429;21.535714285714285;7.571428571428571;30.107142857142858;3.3214285714285716
6;02/16;59.724137931034484;10.5;28.642857142857142;5.380952380952381;43.607142857142854;3.413793103448276
7;02/17;41.25;11.851851851851851;24.185185185185187;14.857142857142858;42.111111111111114;3.25
8;03/14;54.645161290322584;7.6;30.866666666666667;25.77777777777778;42.4;2.92
9;03/15;56.12903225806452;11.64516129032258;38.25806451612903;14.689655172413794;55.225806451612904;3.5161290322580645
10;03/16;54.354838709677416;7.0;25.419354838709676;9.133333333333333;35.225806451612904;3.3225806451612905
11;03/17;48.806451612903224;9.161290322580646;22.387096774193548;13.483870967741936;36.25806451612903;5.222222222222222
12;04/14;53.9;7.433333333333334;32.13333333333333;18.133333333333333;43.333333333333336;1.4333333333333333
13;04/15;59.56666666666667;7.64;32.4;13.1;41.8;3.6666666666666665
14;04/16;60.4;5.1;19.233333333333334;9.166666666666666;25.9;3.3333333333333335
15;04/17;61.241379310344826;6.592592592592593;30.555555555555557;9.4;40.51851851851852;3.5238095238095237
16;05/14;60.774193548387096;5.096774193548387;27.387096774193548;11.931034482758621;35.03225806451613;1.903225806451613
17;05/15;69.12903225806451;7.647058823529412;30.470588235294116;12.64516129032258;41.8235294117647;3.7096774193548385
18;05/16;64.2258064516129;4.967741935483871;18.35483870967742;17.93548387096774;25.06451612903226;3.2580645161290325
19;05/17;68.0;6.774193548387097;28.06451612903226;8.935483870967742;38.25806451612903;4.333333333333333
20;06/14;62.03333333333333;2.566666666666667;24.866666666666667;13.666666666666666;28.966666666666665;1.9666666666666666
21;06/15;69.13793103448276;5.48;26.16;14.03448275862069;33.68;3.3448275862068964
22;06/16;61.56666666666667;4.833333333333333;18.233333333333334;15.133333333333333;25.366666666666667;3.3
23;06/17;61.7;6.333333333333333;28.433333333333334;11.733333333333333;38.166666666666664;3.2
24;07/14;61.48148148148148;2.0454545454545454;18.90909090909091;11.67741935483871;21.863636363636363;1.9333333333333333
25;07/15;56.903225806451616;4.709677419354839;20.677419354838708;27.096774193548388;27.032258064516128;3.032258064516129
26;07/16;59.935483870967744;4.451612903225806;18.29032258064516;19.903225806451612;25.06451612903226;3.096774193548387
27;07/17;60.903225806451616;4.419354838709677;20.29032258064516;10.516129032258064;26.677419354838708;3.032258064516129
28;08/14;68.23333333333333;3.3548387096774195;16.35483870967742;13.806451612903226;21.64516129032258;1.7096774193548387
29;08/15;59.05;3.4482758620689653;17.620689655172413;11.275862068965518;22.06896551724138;3.0
30;08/16;54.29032258064516;4.741935483870968;16.06451612903226;18.516129032258064;23.161290322580644;3.193548387096774
31;08/17;55.70967741935484;5.064516129032258;20.612903225806452;21.451612903225808;28.225806451612904;3.4285714285714284
32;09/14;56.43333333333333;5.866666666666666;22.566666666666666;15.933333333333334;31.5;2.566666666666667
33;09/15;60.96666666666667;5.966666666666667;24.366666666666667;6.033333333333333;32.93333333333333;3.1666666666666665
34;09/16;51.1;5.166666666666667;18.11111111111111;15.266666666666667;25.77777777777778;3.1
35;10/14;31.838709677419356;10.64516129032258;28.64516129032258;17.580645161290324;44.58064516129032;3.5483870967741935
36;10/15;45.54838709677419;9.6;35.03333333333333;;49.0;3.096774193548387
37;10/16;40.96774193548387;7.357142857142857;20.285714285714285;18.70967741935484;31.5;3.032258064516129
38;11/14;31.083333333333332;7.666666666666667;21.571428571428573;13.321428571428571;32.19047619047619;3.5714285714285716
39;11/15;37.8;28.8;55.56666666666667;15.266666666666667;99.33333333333333;3.6666666666666665
40;11/16;30.0;17.433333333333334;33.1;14.533333333333333;59.8;3.1
41;12/14;25.9;29.75862068965517;32.41379310344828;13.033333333333333;77.72413793103448;3.533333333333333
42;12/15;18.806451612903224;34.148148148148145;52.074074074074076;28.93548387096774;104.25925925925925;3.6129032258064515
43;12/16;25.387096774193548;25.161290322580644;30.870967741935484;18.258064516129032;69.38709677419355;3.4838709677419355
