Fecha;PM2.5(µg/m³);SO2(µg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);Ni(ng/m³);NOx(µg/m³);Ozono(µg/m³);As(ng/m³);Pb(µg/m³);Cd(ng/m³)
16.05.2014;15;2;2;18;23;;21;90;;;
17.05.2014;13;3;0;14;17;2,01;14;99;0,28;0;0,02
18.05.2014;15;4;1;20;21;;21;92;;;
19.05.2014;16;4;2;31;24;4,07;34;84;0,28;0;0,05
20.05.2014;12;2;1;10;24;;11;96;;;
21.05.2014;;2;2;20;46;;23;87;;;
22.05.2014;35;3;2;20;45;1,31;23;72;0,55;0,01;0,03
23.05.2014;20;2;4;31;36;;37;65;;;
24.05.2014;9;2;0;10;23;2,43;11;83;0,28;0;0,02
25.05.2014;;4;1;8;20;;9;88;;;
26.05.2014;11;1;3;18;16;;22;68;;;
27.05.2014;7;1;2;12;12;1,32;15;72;0,14;0;0,01
28.05.2014;13;2;3;21;20;;25;65;;;
29.05.2014;10;3;7;18;12;1,6;29;55;0,42;0;0,03
30.05.2014;10;2;2;16;14;;19;64;;;
31.05.2014;8;2;1;22;11;2,5;23;56;1,95;0;0,08
01.06.2014;10;1;0;20;13;;20;70;;;
02.06.2014;13;2;4;18;18;2,36;24;82;1,11;0;0,08
03.06.2014;17;1;2;25;26;;28;89;;;
04.06.2014;24;1;1;24;32;;26;91;;;
05.06.2014;8;1;0;10;21;2,35;10;83;0,14;0;0,01
06.06.2014;11;2;1;11;19;3,89;13;70;0,14;0;0,04
07.06.2014;17;2;1;10;20;;11;78;;;
08.06.2014;17;4;0;7;25;;8;91;;;
09.06.2014;19;2;1;8;28;7,61;9;75;0,41;0,01;0,1
10.06.2014;16;1;2;6;22;;9;66;;;
11.06.2014;19;3;5;18;24;6,48;25;57;0,55;0;0,1
12.06.2014;29;;7;33;33;;43;51;;;
13.06.2014;29;;6;34;36;;43;55;;;
14.06.2014;22;;0;17;28;5,49;17;82;0,69;0,01;0,15
15.06.2014;17;;0;9;24;;8;101;;;
16.06.2014;21;;1;12;26;3,04;14;82;0,41;0;0,04
17.06.2014;13;;;;22;;;71;;;
18.06.2014;;;;;19;;;89;;;
19.06.2014;;;;;14;2,34;;88;0,14;0;0,04
20.06.2014;;;1;9;24;;10;73;;;
21.06.2014;15;;2;6;21;2,61;8;76;0,28;0;0,04
22.06.2014;13;;0;7;24;;7;64;;;
23.06.2014;14;;;;26;;;56;;;
24.06.2014;;;;;15;1,65;;53;0,55;0;0,08
25.06.2014;10;;;;17;;;42;;;
26.06.2014;17;;;;27;2,87;;65;0,68;0;0,08
27.06.2014;17;;;;22;;;78;;;
