;month;Ozono(µg/m?);NO(µg/m?);NO2(µg/m?);PM10(µg/m?);NOx(µg/m?);SO2(µg/m?)
0;01/14;35.29032258064516;22.3125;31.8125;17.17241379310345;65.75;1.0
1;01/15;27.838709677419356;31.677419354838708;34.806451612903224;25.785714285714285;83.12903225806451;3.096774193548387
2;01/16;32.87096774193548;17.193548387096776;33.774193548387096;23.17391304347826;59.96774193548387;4.0
3;01/17;32.193548387096776;32.70967741935484;33.32258064516129;22.0;83.2258064516129;3.6129032258064515
4;02/14;41.714285714285715;18.571428571428573;40.07142857142857;14.692307692307692;68.21428571428571;0.8214285714285714
5;02/15;45.214285714285715;14.178571428571429;25.357142857142858;16.157894736842106;46.785714285714285;3.0357142857142856
6;02/16;48.06896551724138;13.56;30.96;18.96;51.68;3.7586206896551726
7;02/17;42.88;24.04;33.36;29.166666666666668;69.92;3.32
8;03/14;50.96774193548387;18.76923076923077;41.42307692307692;26.137931034482758;70.0;2.4193548387096775
9;03/15;47.46666666666667;13.533333333333333;29.733333333333334;26.517241379310345;50.06666666666667;3.2666666666666666
10;03/16;56.766666666666666;7.266666666666667;36.0;17.115384615384617;46.93333333333333;3.7333333333333334
11;03/17;52.172413793103445;20.93103448275862;36.689655172413794;;68.55172413793103;3.689655172413793
12;04/14;58.4;9.333333333333334;29.541666666666668;24.36;43.708333333333336;2.4
13;04/15;55.785714285714285;8.214285714285714;21.75;26.0;33.5;3.392857142857143
14;04/16;62.17857142857143;3.2142857142857144;33.57142857142857;19.555555555555557;37.714285714285715;3.7142857142857144
15;04/17;62.58620689655172;14.413793103448276;31.862068965517242;;53.827586206896555;5.068965517241379
16;05/14;66.36666666666666;5.4;25.033333333333335;18.724137931034484;33.266666666666666;2.6785714285714284
17;05/15;57.233333333333334;10.566666666666666;38.8;27.448275862068964;54.766666666666666;3.433333333333333
18;05/16;65.87096774193549;3.935483870967742;29.161290322580644;19.72;35.0;3.774193548387097
19;05/17;67.3225806451613;11.285714285714286;28.333333333333332;;45.476190476190474;4.419354838709677
20;06/14;62.96666666666667;6.066666666666666;28.933333333333334;21.642857142857142;38.0;3.0714285714285716
21;06/15;60.0;8.566666666666666;35.166666666666664;26.61111111111111;47.93333333333333;3.533333333333333
22;06/16;61.25;3.0;24.321428571428573;21.954545454545453;28.821428571428573;3.9642857142857144
23;06/17;62.6;2.7;32.56666666666667;27.916666666666668;36.8;3.2
24;07/14;52.172413793103445;6.107142857142857;24.714285714285715;21.045454545454547;34.035714285714285;2.607142857142857
25;07/15;53.357142857142854;7.290322580645161;28.35483870967742;39.4;39.25806451612903;3.193548387096774
26;07/16;61.516129032258064;2.888888888888889;24.814814814814813;29.333333333333332;29.037037037037038;3.870967741935484
27;07/17;63.642857142857146;1.903225806451613;23.903225806451612;34.65217391304348;27.06451612903226;3.193548387096774
28;08/14;54.806451612903224;3.103448275862069;16.724137931034484;25.12;21.344827586206897;2.689655172413793
29;08/15;52.096774193548384;5.290322580645161;23.322580645161292;24.0;31.322580645161292;3.3225806451612905
30;08/16;55.12903225806452;7.2;22.12;25.52173913043478;33.0;3.28
31;08/17;52.516129032258064;1.032258064516129;23.967741935483872;41.666666666666664;25.903225806451612;3.064516129032258
32;09/14;45.206896551724135;6.592592592592593;24.037037037037038;23.565217391304348;33.77777777777778;3.3214285714285716
33;09/15;45.7;10.5;33.36666666666667;25.642857142857142;49.266666666666666;3.2333333333333334
34;09/16;49.6;12.3;27.166666666666668;21.952380952380953;45.666666666666664;3.590909090909091
35;10/14;34.064516129032256;12.866666666666667;31.9;28.586206896551722;51.03333333333333;5.428571428571429
36;10/15;29.903225806451612;14.741935483870968;39.483870967741936;26.083333333333332;61.806451612903224;3.064516129032258
37;10/16;37.03225806451613;17.161290322580644;31.870967741935484;24.944444444444443;57.903225806451616;3.4482758620689653
38;11/14;30.933333333333334;16.066666666666666;29.1;21.142857142857142;53.266666666666666;3.0
39;11/15;24.615384615384617;35.43333333333333;43.96666666666667;36.45454545454545;98.0;3.2
40;11/16;25.5;30.566666666666666;38.666666666666664;20.45;85.53333333333333;3.1333333333333333
41;12/14;24.9;31.8;33.5;26.3125;82.1;3.066666666666667
42;12/15;13.774193548387096;50.645161290322584;52.096774193548384;49.333333333333336;129.61290322580646;4.225806451612903
43;12/16;16.962962962962962;45.7037037037037;43.22222222222222;20.0;113.18518518518519;3.4074074074074074
