;month;Ozono(µg/m?);NO(µg/m?);NO2(µg/m?);PM10(µg/m?);NOx(µg/m?);SO2(µg/m?)
0;01/14;38.225806451612904;11.451612903225806;31.06451612903226;7.580645161290323;48.58064516129032;1.5384615384615385
1;01/15;36.76;20.967741935483872;47.87096774193548;15.612903225806452;79.54838709677419;3.4516129032258065
2;01/16;42.74074074074074;8.928571428571429;34.0;15.321428571428571;46.57142857142857;3.0357142857142856
3;01/17;28.59259259259259;11.041666666666666;26.25;14.074074074074074;42.791666666666664;3.5925925925925926
4;02/14;44.892857142857146;4.923076923076923;23.346153846153847;11.214285714285714;31.03846153846154;
5;02/15;56.36363636363637;7.071428571428571;30.678571428571427;11.464285714285714;40.857142857142854;3.0
6;02/16;58.51724137931034;8.172413793103448;31.20689655172414;15.724137931034482;42.55172413793103;3.0689655172413794
7;02/17;36.892857142857146;8.0;23.136363636363637;14.928571428571429;34.90909090909091;3.25
8;03/14;54.806451612903224;7.517241379310345;33.172413793103445;22.838709677419356;44.689655172413794;2.935483870967742
9;03/15;69.87096774193549;9.096774193548388;33.25806451612903;16.741935483870968;46.483870967741936;3.096774193548387
10;03/16;59.45161290322581;4.466666666666667;21.8;13.838709677419354;26.9;3.161290322580645
11;03/17;55.0;6.583333333333333;29.291666666666668;14.6;38.875;3.1379310344827585
12;04/14;68.96666666666667;4.538461538461538;22.384615384615383;16.466666666666665;29.423076923076923;1.8666666666666667
13;04/15;72.26666666666667;5.0;24.333333333333332;16.366666666666667;31.0;3.0
14;04/16;64.03333333333333;2.5;13.0;12.766666666666667;15.0;3.0
15;04/17;64.23333333333333;3.466666666666667;24.233333333333334;11.066666666666666;29.666666666666668;3.4
16;05/14;74.7741935483871;2.0;15.935483870967742;12.0;19.06451612903226;1.096774193548387
17;05/15;73.45161290322581;3.3333333333333335;16.3;15.67741935483871;20.166666666666668;3.0
18;05/16;66.90322580645162;3.129032258064516;15.064516129032258;14.225806451612904;18.29032258064516;3.0
19;05/17;68.87096774193549;3.225806451612903;17.612903225806452;7.354838709677419;22.161290322580644;3.6451612903225805
20;06/14;73.83333333333333;2.3;18.066666666666666;15.590909090909092;21.566666666666666;0.9333333333333333
21;06/15;77.9;3.2666666666666666;17.9;14.233333333333333;21.733333333333334;4.357142857142857
22;06/16;61.86666666666667;1.8666666666666667;11.766666666666667;14.0;13.933333333333334;3.033333333333333
23;06/17;60.1;3.033333333333333;16.9;7.866666666666666;21.033333333333335;3.4782608695652173
24;07/14;58.935483870967744;3.129032258064516;17.387096774193548;20.903225806451612;21.93548387096774;1.1290322580645162
25;07/15;68.96774193548387;3.206896551724138;16.620689655172413;22.838709677419356;20.379310344827587;4.290322580645161
26;07/16;61.096774193548384;1.8064516129032258;12.67741935483871;17.0;15.67741935483871;3.0
27;07/17;53.064516129032256;2.032258064516129;13.67741935483871;7.354838709677419;16.838709677419356;3.7857142857142856
28;08/14;58.666666666666664;2.6333333333333333;14.8;22.903225806451612;18.6;1.064516129032258
29;08/15;64.76666666666667;2.7419354838709675;15.67741935483871;18.483870967741936;18.483870967741936;3.6
30;08/16;55.89655172413793;1.6206896551724137;11.03448275862069;15.724137931034482;13.96551724137931;3.1379310344827585
31;08/17;57.064516129032256;2.6129032258064515;15.580645161290322;7.806451612903226;19.548387096774192;3.4516129032258065
32;09/14;54.06666666666667;5.2;24.033333333333335;19.933333333333334;31.933333333333334;1.9666666666666666
33;09/15;64.3;4.733333333333333;25.2;14.9;31.266666666666666;3.033333333333333
34;09/16;51.833333333333336;3.2666666666666666;16.566666666666666;12.566666666666666;21.9;3.1666666666666665
35;10/14;39.21052631578947;11.709677419354838;39.225806451612904;21.0;56.45161290322581;3.193548387096774
36;10/15;48.733333333333334;6.741935483870968;35.70967741935484;15.419354838709678;45.225806451612904;3.033333333333333
37;10/16;41.70967741935484;4.774193548387097;22.451612903225808;16.129032258064516;29.64516129032258;3.096774193548387
38;11/14;39.74074074074074;12.133333333333333;36.5;15.3;54.166666666666664;3.033333333333333
39;11/15;33.36666666666667;22.633333333333333;53.7;19.84;87.23333333333333;3.1333333333333333
40;11/16;27.7;9.12;27.8;12.2;41.72;3.413793103448276
41;12/14;24.363636363636363;24.166666666666668;44.833333333333336;13.129032258064516;81.26666666666667;3.2580645161290325
42;12/15;21.419354838709676;45.225806451612904;67.0;35.16129032258065;135.3548387096774;3.4516129032258065
43;12/16;22.93548387096774;14.137931034482758;26.82758620689655;15.096774193548388;48.275862068965516;3.6451612903225805
