;Cont;c1;c3;c4;c5;c6;c7
0;Ozono(µg/m?);51.25;49.91803278688525;41.68421052631579;50.79945054945055;46.296407185628745;47.86834733893557
1;NO(µg/m?);5.4338461538461535;9.079268292682928;24.413793103448278;7.681159420289855;11.284403669724771;13.690962099125365
2;NO2(µg/m?);20.726153846153846;22.823170731707318;42.51149425287356;22.880434782608695;32.07339449541284;31.425655976676385
3;PM10(µg/m?);14.559322033898304;14.854341736694678;23.058495821727018;24.26086956521739;;21.691666666666666
4;NOx(µg/m?);28.523076923076925;36.25;79.70402298850574;34.2536231884058;48.61162079510704;52.19533527696793
5;SO2(µg/m?);3.147632311977716;3.259562841530055;3.7045454545454546;3.1728813559322036;3.6023391812865495;3.6480938416422286
