;month;Ozono(µg/m?);NO(µg/m?);NO2(µg/m?);PM10(µg/m?);NOx(µg/m?);SO2(µg/m?)
0;01/14;36.67741935483871;13.0;40.142857142857146;16.774193548387096;60.0;1.064516129032258
1;01/15;29.129032258064516;23.387096774193548;43.354838709677416;9.433333333333334;78.83870967741936;3.6774193548387095
2;01/16;34.925925925925924;13.580645161290322;44.193548387096776;;64.38709677419355;3.5806451612903225
3;01/17;32.310344827586206;20.464285714285715;46.42857142857143;;77.21428571428571;3.1724137931034484
4;02/14;44.67857142857143;10.0;34.82142857142857;13.08;50.107142857142854;1.8333333333333333
5;02/15;50.857142857142854;10.892857142857142;31.214285714285715;14.178571428571429;47.464285714285715;3.375
6;02/16;46.666666666666664;9.724137931034482;32.241379310344826;;46.241379310344826;3.7241379310344827
7;02/17;41.642857142857146;14.5;44.035714285714285;;65.64285714285714;3.3214285714285716
8;03/14;53.61290322580645;7.193548387096774;34.67741935483871;20.161290322580644;45.87096774193548;
9;03/15;51.55172413793103;7.296296296296297;28.74074074074074;17.892857142857142;39.0;3.4444444444444446
10;03/16;59.61290322580645;4.387096774193548;26.580645161290324;;32.193548387096776;3.870967741935484
11;03/17;50.516129032258064;12.32258064516129;46.41935483870968;;65.0;3.2580645161290325
12;04/14;58.733333333333334;4.275862068965517;21.03448275862069;15.466666666666667;27.517241379310345;1.5714285714285714
13;04/15;63.5;4.166666666666667;21.966666666666665;12.966666666666667;27.1;3.1
14;04/16;60.035714285714285;5.555555555555555;30.555555555555557;;38.0;3.8214285714285716
15;04/17;60.4;7.833333333333333;41.233333333333334;;52.5;3.2666666666666666
16;05/14;68.87096774193549;1.75;12.875;13.0;15.6875;2.0
17;05/15;63.172413793103445;4.517241379310345;22.551724137931036;10.96551724137931;28.517241379310345;3.0344827586206895
18;05/16;59.774193548387096;8.153846153846153;24.846153846153847;;36.65384615384615;3.774193548387097
19;05/17;58.3448275862069;7.827586206896552;31.96551724137931;;43.689655172413794;3.103448275862069
20;06/14;65.9;2.1666666666666665;21.25;10.444444444444445;24.333333333333332;1.3
21;06/15;63.53333333333333;4.566666666666666;26.333333333333332;12.642857142857142;32.43333333333333;3.1333333333333333
22;06/16;55.241379310344826;6.464285714285714;21.285714285714285;;30.678571428571427;3.7666666666666666
23;06/17;52.6551724137931;5.481481481481482;22.37037037037037;;30.74074074074074;4.2
24;07/14;52.38709677419355;1.6153846153846154;16.807692307692307;7.419354838709677;18.846153846153847;1.967741935483871
25;07/15;51.44827586206897;3.064516129032258;17.774193548387096;14.555555555555555;21.580645161290324;3.0
26;07/16;57.08;3.28;20.28;;24.32;3.2
27;07/17;51.583333333333336;4.931034482758621;19.137931034482758;;26.655172413793103;3.3548387096774195
28;08/14;51.03225806451613;1.3870967741935485;9.03225806451613;13.838709677419354;11.0;2.5161290322580645
29;08/15;61.43333333333333;3.2333333333333334;16.633333333333333;;20.333333333333332;3.033333333333333
30;08/16;46.61290322580645;6.387096774193548;20.774193548387096;;29.741935483870968;3.225806451612903
31;08/17;55.53333333333333;4.870967741935484;21.451612903225808;21.133333333333333;28.838709677419356;3.096774193548387
32;09/14;51.13333333333333;3.7;18.266666666666666;11.192307692307692;23.233333333333334;2.3333333333333335
33;09/15;58.275862068965516;5.241379310344827;26.17241379310345;;33.275862068965516;3.0344827586206895
34;09/16;41.766666666666666;11.379310344827585;28.17241379310345;;44.48275862068966;3.2333333333333334
35;10/14;38.41935483870968;11.291666666666666;34.0;11.32258064516129;50.208333333333336;3.0
36;10/15;45.48148148148148;8.666666666666666;38.0;;50.666666666666664;3.1481481481481484
37;10/16;33.70967741935484;10.851851851851851;34.407407407407405;;50.148148148148145;3.76
38;11/14;33.57142857142857;9.208333333333334;31.291666666666668;10.869565217391305;43.875;3.9583333333333335
39;11/15;34.578947368421055;26.413793103448278;51.6551724137931;;91.65517241379311;3.6
40;11/16;25.818181818181817;17.6;46.56666666666667;;73.26666666666667;3.8
41;12/14;24.677419354838708;25.64516129032258;41.54838709677419;8.96551724137931;80.54838709677419;4.428571428571429
42;12/15;18.6;45.774193548387096;64.2258064516129;;134.0;4.548387096774194
43;12/16;27.12;31.516129032258064;49.935483870967744;;97.90322580645162;3.5161290322580645
