Fecha;SO2(µg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);Ni(ng/m³);NOx(µg/m³);Ozono(µg/m³);As(ng/m³);Pb(µg/m³);BaP(ng/m³);Cd(ng/m³)
23/04/2014;5;17;37;23;;63;48;;;0,11;
24/04/2014;2;12;33;22;6;50;53;0,43;0,01;;0,05
25/04/2014;0;4;21;12;;26;76;;;;
26/04/2014;1;2;11;11;4;14;62;0,25;0;;0,05
27/04/2014;3;2;19;18;;22;67;;;;
28/04/2014;4;8;31;20;;44;54;;;;
29/04/2014;6;15;39;21;11;62;43;0,35;0;;0,31
30/04/2014;7;14;44;22;;66;45;;;;
01/05/2014;7;4;22;12;;28;64;;;0,07;
02/05/2014;4;12;31;23;14;49;52;0,36;0;;0,05
03/05/2014;2;4;26;17;8;33;66;0,24;0;;0,05
04/05/2014;3;3;24;17;;28;67;;;;
05/05/2014;4;6;26;;;35;66;;;;
06/05/2014;2;7;26;23;;36;67;;;;
07/05/2014;2;9;32;25;;46;60;;;;
08/05/2014;1;4;24;20;8;31;74;0,29;0,01;;0,05
09/05/2014;3;17;50;28;;76;41;;;0,1;
10/05/2014;5;7;37;26;6;48;59;0,51;0,01;;0,05
11/05/2014;5;3;21;19;8;25;73;0,43;0;;0,05
12/05/2014;2;6;18;20;;28;65;;;;
13/05/2014;0;4;19;19;;25;68;;;;
14/05/2014;3;5;15;19;3;22;61;0,22;0;;0,05
15/05/2014;3;8;21;19;;33;61;;;;
16/05/2014;5;4;22;20;;27;83;;;;
17/05/2014;3;3;24;16;;29;85;;;0,12;
18/05/2014;1;2;17;16;8;20;89;0,27;0;;0,05
19/05/2014;4;7;41;;;51;67;;;;
20/05/2014;1;5;21;12;;29;79;;;;
21/05/2014;1;2;20;12;;24;83;;;;
22/05/2014;1;1;17;20;4;19;71;0,28;0;;0,05
23/05/2014;2;3;21;12;;26;66;;;;
24/05/2014;2;4;22;17;3;27;66;0,89;0;;0,05
25/05/2014;3;3;15;15;;19;77;;;0,04;
26/05/2014;3;5;21;17;;28;64;;;0,04;
27/05/2014;2;7;31;17;6;42;55;0,32;0;;0,05
28/05/2014;;;;20;;;;;;;
29/05/2014;1;8;29;16;1,4;42;56;0,24;0,01;;0,05
30/05/2014;;5;33;15;;41;54;;;;
31/05/2014;;4;25;31;6;31;52;0,34;0;;0,05
01/06/2014;;3;16;28;;20;72;;;;
02/06/2014;5;5;31;;;39;66;;;;
03/06/2014;4;7;35;;;46;69;;;;
04/06/2014;3;13;40;;;60;69;;;;
05/06/2014;4;5;19;;;26;68;;;;
06/06/2014;3;4;23;;;30;59;;;;
07/06/2014;3;3;21;;;26;69;;;;
08/06/2014;1;3;15;;;18;80;;;;
09/06/2014;5;4;24;;;31;62;;;;
10/06/2014;5;6;30;;;39;56;;;;
11/06/2014;6;13;54;;;73;44;;;;
12/06/2014;2;10;51;;;66;53;;;;
13/06/2014;4;12;56;;;75;55;;;;
14/06/2014;3;7;33;;;43;67;;;;
15/06/2014;5;3;14;;;18;90;;;;
16/06/2014;4;5;23;;;30;73;;;;
17/06/2014;4;4;26;19;;32;70;;;;
18/06/2014;2;4;20;19;;26;75;;;;
19/06/2014;;4;27;16;;33;73;;;0,04;
20/06/2014;2;7;35;20;9;46;64;0,3;0;;0,05
21/06/2014;1;4;27;20;7;32;67;0,26;0;;0,05
22/06/2014;3;3;18;25;;23;57;;;;
23/06/2014;2;7;25;29;;36;44;;;;
24/06/2014;1;4;31;13;1,4;36;53;0,81;0;;0,05
25/06/2014;2;4;37;16;;44;45;;;;
26/06/2014;2;15;38;25;5;60;57;1,07;0,01;;0,16
27/06/2014;2;9;36;28;;48;67;;;0,04;
28/06/2014;4;4;23;25;8;29;67;0,4;0;;0,05
29/06/2014;2;3;18;20;;23;54;;;;
30/06/2014;2;7;22;;;32;44;;;;
01/07/2014;2;5;23;30;;31;56;;;;
02/07/2014;1;5;19;29;;26;59;;;;
03/07/2014;1;5;19;26;4;26;50;0,29;0;;0,05
04/07/2014;3;4;28;16;3;34;53;0,42;0,02;;0,05
05/07/2014;;4;31;26;;37;63;;;0,04;
06/07/2014;2;3;20;25;;25;60;;;;
07/07/2014;3;5;21;8;6;29;57;0,25;0;;0,05
08/07/2014;2;5;21;18;;29;48;;;;
09/07/2014;7;6;25;19;8;35;54;0,23;0;;0,18
10/07/2014;7;6;26;19;;35;60;;;;
11/07/2014;2;8;32;23;;44;51;;;;
12/07/2014;1;4;22;20;4;28;48;0,36;0;;0,05
13/07/2014;3;3;17;20;;22;49;;;0,04;
14/07/2014;2;9;27;;;40;40;;;;
15/07/2014;2;9;29;22;;44;37;;;;
16/07/2014;1;8;23;19;;35;50;;;;
17/07/2014;1;10;30;19;7;45;45;0,38;0;;0,05
18/07/2014;2;6;24;23;;33;47;;;;
19/07/2014;1;3;24;33;9;29;47;0,54;0;;0,16
20/07/2014;4;2;11;12;;14;70;;;;
21/07/2014;3;7;30;;;40;51;;;;
22/07/2014;2;7;28;;;39;52;;;;
