;month;Ozono(µg/m?);NO(µg/m?);NO2(µg/m?);PM10(µg/m?);NOx(µg/m?);SO2(µg/m?)
0;01/14;27.838709677419356;33.58064516129032;49.806451612903224;17.419354838709676;101.09677419354838;2.4193548387096775
1;01/15;27.103448275862068;43.93103448275862;50.13793103448276;31.884615384615383;117.06896551724138;5.0344827586206895
2;01/16;33.57692307692308;22.677419354838708;37.74193548387097;41.5;72.09677419354838;4.064516129032258
3;01/17;26.9;44.13793103448276;44.10344827586207;12.903225806451612;111.44827586206897;5.071428571428571
4;02/14;49.785714285714285;25.214285714285715;46.142857142857146;13.357142857142858;84.82142857142857;1.3333333333333333
5;02/15;48.38461538461539;19.73076923076923;37.76923076923077;18.85;67.42307692307692;4.615384615384615
6;02/16;41.5;25.464285714285715;40.214285714285715;43.5;78.71428571428571;3.7142857142857144
7;02/17;34.035714285714285;34.67857142857143;40.535714285714285;16.571428571428573;93.5;4.217391304347826
8;03/14;56.935483870967744;25.612903225806452;53.03225806451613;18.774193548387096;92.09677419354838;8.903225806451612
9;03/15;50.92307692307692;22.0;44.80769230769231;22.23076923076923;77.8076923076923;3.6153846153846154
10;03/16;50.0;19.8;41.56666666666667;38.32258064516129;71.7;4.0
11;03/17;42.74193548387097;29.06451612903226;44.225806451612904;17.64516129032258;88.58064516129032;5.37037037037037
12;04/14;57.84615384615385;17.517241379310345;45.89655172413793;12.10344827586207;72.62068965517241;4.413793103448276
13;04/15;66.0;10.633333333333333;26.933333333333334;15.833333333333334;42.233333333333334;3.7333333333333334
14;04/16;54.166666666666664;16.933333333333334;42.06666666666667;22.966666666666665;67.76666666666667;3.533333333333333
15;04/17;51.233333333333334;22.966666666666665;47.6;12.733333333333333;82.4;4.0
16;05/14;65.87096774193549;14.806451612903226;44.70967741935484;11.483870967741936;67.45161290322581;2.4
17;05/15;47.3125;14.129032258064516;38.064516129032256;18.548387096774192;59.12903225806452;4.387096774193548
18;05/16;57.16129032258065;16.0;40.935483870967744;20.419354838709676;65.25806451612904;3.838709677419355
19;05/17;52.42857142857143;19.741935483870968;35.45161290322581;13.0;65.48387096774194;4.535714285714286
20;06/14;61.666666666666664;15.766666666666667;50.4;12.333333333333334;74.43333333333334;3.4761904761904763
21;06/15;56.2;14.566666666666666;43.03333333333333;16.833333333333332;65.0;4.466666666666667
22;06/16;49.266666666666666;19.3;42.93333333333333;24.866666666666667;72.1;3.566666666666667
23;06/17;57.92;20.066666666666666;36.733333333333334;13.1;67.56666666666666;4.5
24;07/14;48.806451612903224;15.064516129032258;42.16129032258065;10.580645161290322;65.19354838709677;3.730769230769231
25;07/15;64.66666666666667;11.290322580645162;33.87096774193548;20.0;50.483870967741936;3.9
26;07/16;46.516129032258064;16.967741935483872;43.41935483870968;17.0;69.09677419354838;3.3225806451612905
27;07/17;52.193548387096776;15.35483870967742;27.193548387096776;11.67741935483871;50.67741935483871;4.545454545454546
28;08/14;48.935483870967744;9.096774193548388;32.03225806451613;13.903225806451612;46.096774193548384;3.6129032258064515
29;08/15;61.75;8.387096774193548;27.225806451612904;11.612903225806452;39.58064516129032;3.7419354838709675
30;08/16;53.41935483870968;15.838709677419354;37.67741935483871;13.741935483870968;61.96774193548387;3.3225806451612905
31;08/17;42.806451612903224;11.387096774193548;22.516129032258064;20.3;39.74193548387097;3.235294117647059
32;09/14;41.25;18.466666666666665;42.2;15.066666666666666;70.3;3.6666666666666665
33;09/15;58.13333333333333;15.833333333333334;38.733333333333334;18.25925925925926;62.833333333333336;3.966666666666667
34;09/16;39.44444444444444;24.94736842105263;49.578947368421055;12.466666666666667;87.94736842105263;3.5
35;10/14;35.903225806451616;28.612903225806452;49.74193548387097;19.806451612903224;93.25806451612904;5.483870967741935
36;10/15;39.225806451612904;23.677419354838708;44.225806451612904;40.87096774193548;80.25806451612904;3.566666666666667
37;10/16;29.884615384615383;21.53846153846154;40.03846153846154;13.846153846153847;72.73076923076923;3.375
38;11/14;33.5;28.133333333333333;42.8;20.133333333333333;85.76666666666667;5.166666666666667
39;11/15;26.566666666666666;43.93333333333333;49.8;43.833333333333336;116.9;3.7
40;11/16;22.966666666666665;38.63333333333333;46.9;16.833333333333332;106.0;4.36
41;12/14;24.225806451612904;47.516129032258064;47.83870967741935;21.82758620689655;120.41935483870968;5.580645161290323
42;12/15;14.483870967741936;57.064516129032256;56.70967741935484;48.208333333333336;144.09677419354838;4.225806451612903
43;12/16;18.451612903225808;54.61290322580645;49.29032258064516;11.838709677419354;133.0;3.903225806451613
